Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Number and Operations Placement,Number and Operations Relative Placement,Algebra and Algebraic Thinking Placement,Algebra and Algebraic Thinking Relative Placement,Measurement and Data Placement,Measurement and Data Relative Placement,Geometry Placement,Geometry Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Quantile Measure,Quantile Range,Percentile Rank,Date,Diagnostic Language,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",462.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,26.0,35,620Q,570Q-670Q,69th,2026-09-06,English,Level 2,Level 3,Level 3
"Allen, Noah",455.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,23.0,35,595Q,545Q-645Q,64th,2026-09-01,English,Level 2,Level 3,Level 3
"Anderson, Linda",484.0,,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,20.0,25,765Q,715Q-815Q,93rd,2026-09-06,English,Level 3,Level 3,Level 3
"Green, Emma",504.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,16.0,25,905Q,855Q-955Q,99th,2026-09-02,English,Level 3,Level 4,Level 4
"Harris, Lucas",425.0,,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 1,Three or More Grade Levels Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,18.0,42,435Q,385Q-485Q,29th,2026-09-02,English,Level 1,Level 2,Level 2
"Harris, Oliver",469.0,,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,26.0,34,660Q,610Q-710Q,79th,2026-09-02,English,Level 2,Level 3,Level 3
"Lewis, Patricia",454.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,23.0,35,585Q,535Q-635Q,62nd,2026-09-06,English,Level 2,Level 3,Level 3
"Martin, Amelia",468.0,,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 1,Three or More Grade Levels Below,Grade 3,One Grade Level Below,23.0,34,675Q,625Q-725Q,81st,2026-09-01,English,Level 2,Level 3,Level 3
"Scott, Liam",415.0,,Grade 1,Three or More Grade Levels Below,Grade 2,Two Grade Levels Below,Grade 1,Three or More Grade Levels Below,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,27.0,48,325Q,275Q-375Q,16th,2026-09-06,English,Level 1,Level 1,Level 2
"Smith, Emma",463.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Early 4,Early On Grade Level,26.0,35,625Q,575Q-675Q,71st,2026-09-06,English,Level 2,Level 3,Level 3
"Taylor, Liam",452.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,23.0,35,575Q,525Q-625Q,60th,2026-09-05,English,Level 2,Level 3,Level 3
"Vasquez, Elijah",441.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,27.0,35,480Q,430Q-530Q,38th,2026-09-01,English,Level 1,Level 2,Level 2
