Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Placement,Phonics Relative Placement,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Placement,Vocabulary Relative Placement,Comprehension: Overall Placement,Comprehension: Overall Relative Placement,Comprehension: Literature Placement,Comprehension: Literature Relative Placement,Comprehension: Informational Text Placement,Comprehension: Informational Text Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Lexile Measure,Lexile Range,Percentile Rank,Date,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",585.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,15.0,21,930L,830L-980L,84th,2026-09-05,Level 3,Level 3,Level 3
"Allen, Elijah",523.0,Yellow Rush Flag,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,18.0,37,670L,570L-720L,46th,2026-08-31,Level 2,Level 2,Level 3
"Allen, Noah",581.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,12.0,21,925L,825L-975L,84th,2026-08-31,Level 3,Level 3,Level 3
"Anderson, Linda",611.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,13.0,21,1060L,960L-1110L,95th,2026-09-05,Level 4,Level 4,Level 4
"Baker, Evelyn",515.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,22.0,37,620L,520L-670L,36th,2026-09-02,Level 2,Level 2,Level 2
"Baker, Theodore",513.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Max Score,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,17.0,37,630L,530L-680L,39th,2026-09-01,Level 2,Level 2,Level 2
"Green, Emma",610.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 7,Mid or Above Grade Level,Early 4,Early On Grade Level,7.0,21,1080L,980L-1130L,96th,2026-09-01,Level 4,Level 4,Level 4
"Harris, Lucas",542.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,23.0,37,735L,635L-785L,56th,2026-09-01,Level 2,Level 3,Level 3
"Harris, Oliver",590.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,12.0,21,965L,865L-1015L,88th,2026-09-05,Level 3,Level 3,Level 4
"Lee, Henry",430.0,Yellow Rush Flag,Grade 1,Three or More Grade Levels Below,Not Assessed,Not Assessed,Grade K,Three or More Grade Levels Below,Surpassed Level,Mid or Above Grade Level,Grade 1,Three or More Grade Levels Below,Grade K,Three or More Grade Levels Below,Grade 1,Three or More Grade Levels Below,Grade K,Three or More Grade Levels Below,28.0,63,240L,140L-290L,9th,2026-08-31,Level 1,Level 1,Level 2
"Lewis, Patricia",577.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,20.0,28,895L,795L-945L,80th,2026-09-05,Level 3,Level 3,Level 3
"Martin, Amelia",598.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,15.0,21,990L,890L-1040L,90th,2026-09-05,Level 3,Level 3,Level 4
"Miller, Amelia",516.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 1,Three or More Grade Levels Below,24.0,37,615L,515L-665L,35th,2026-08-31,Level 2,Level 2,Level 2
"Scott, Liam",534.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,20.0,37,715L,615L-765L,52nd,2026-09-04,Level 2,Level 2,Level 3
"Smith, Emma",590.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,17.0,21,945L,845L-995L,86th,2026-09-03,Level 3,Level 3,Level 3
"Taylor, Liam",565.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,16.0,28,860L,760L-910L,74th,2026-08-31,Level 3,Level 3,Level 3
"Vasquez, Elijah",552.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,22.0,37,785L,685L-835L,64th,2026-08-31,Level 2,Level 3,Level 3
