Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Number and Operations Placement,Number and Operations Relative Placement,Algebra and Algebraic Thinking Placement,Algebra and Algebraic Thinking Relative Placement,Measurement and Data Placement,Measurement and Data Relative Placement,Geometry Placement,Geometry Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Quantile Measure,Quantile Range,Percentile Rank,Date,Diagnostic Language,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",499.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,26.0,34,840Q,790Q-890Q,82nd,2027-05-03,English,Level 3,,
"Allen, Elijah",424.0,,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,22.0,48,410Q,360Q-460Q,13th,2027-05-01,English,Level 1,,
"Allen, Noah",493.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,23.0,34,825Q,775Q-875Q,79th,2027-05-01,English,Level 3,,
"Anderson, Linda",518.0,,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,20.0,25,965Q,915Q-1015Q,94th,2027-05-04,English,Level 4,,
"Green, Emma",514.0,,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,16.0,25,965Q,915Q-1015Q,94th,2027-05-03,English,Level 4,,
"Harris, Lucas",436.0,,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,19.0,48,505Q,455Q-555Q,22nd,2027-05-03,English,Level 1,,
"Harris, Oliver",501.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,26.0,35,850Q,800Q-900Q,84th,2027-05-05,English,Level 3,,
"Lewis, Patricia",483.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,23.0,35,765Q,715Q-815Q,70th,2027-05-03,English,Level 3,,
"Martin, Amelia",501.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,23.0,35,870Q,820Q-920Q,86th,2027-05-01,English,Level 3,,
"Scott, Liam",440.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,26.0,42,480Q,430Q-530Q,19th,2027-05-06,English,Level 1,,
"Smith, Emma",499.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,26.0,35,840Q,790Q-890Q,82nd,2027-05-04,English,Level 3,,
"Taylor, Liam",482.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,23.0,35,755Q,705Q-805Q,68th,2027-05-05,English,Level 3,,
"Vasquez, Elijah",474.0,,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,27.0,35,685Q,635Q-735Q,51st,2027-05-01,English,Level 2,,
