Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Placement,Phonics Relative Placement,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Placement,Vocabulary Relative Placement,Comprehension: Overall Placement,Comprehension: Overall Relative Placement,Comprehension: Literature Placement,Comprehension: Literature Relative Placement,Comprehension: Informational Text Placement,Comprehension: Informational Text Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Lexile Measure,Lexile Range,Percentile Rank,Date,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",615.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Grade 5,Mid or Above Grade Level,Grade 7,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,15.0,21,1065L,965L-1115L,88th,2027-05-02,Level 4,,
"Allen, Elijah",582.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,18.0,37,940L,840L-990L,71st,2027-05-01,Level 3,,
"Allen, Noah",607.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,20.0,37,1045L,945L-1095L,86th,2027-05-01,Level 3,,
"Anderson, Linda",634.0,,Grade 5,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,13.0,21,1165L,1065L-1215L,95th,2027-05-02,Level 4,,
"Baker, Evelyn",560.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,22.0,37,820L,720L-870L,51st,2027-04-30,Level 3,,
"Baker, Theodore",570.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,17.0,37,890L,790L-940L,62nd,2027-04-30,Level 3,,
"Green, Emma",651.0,,Grade 7,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 7,Mid or Above Grade Level,Grade 6,Mid or Above Grade Level,Grade 7,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,7.0,21,1265L,1165L-1300L,99th,2027-05-03,Level 4,,
"Harris, Lucas",599.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,20.0,28,995L,895L-1045L,79th,2027-04-30,Level 3,,
"Harris, Oliver",629.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 6,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,12.0,21,1145L,1045L-1195L,94th,2027-05-02,Level 4,,
"Lee, Henry",477.0,Yellow Rush Flag,Grade 2,Two Grade Levels Below,Not Assessed,Not Assessed,Grade 1,Three or More Grade Levels Below,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 1,Three or More Grade Levels Below,Grade 1,Three or More Grade Levels Below,Grade K,Three or More Grade Levels Below,28.0,63,455L,355L-505L,12th,2027-05-02,Level 1,,
