Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Number and Operations Placement,Number and Operations Relative Placement,Algebra and Algebraic Thinking Placement,Algebra and Algebraic Thinking Relative Placement,Measurement and Data Placement,Measurement and Data Relative Placement,Geometry Placement,Geometry Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Quantile Measure,Quantile Range,Percentile Rank,Date,Diagnostic Language,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",480.0,,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,26.0,35,725Q,675Q-775Q,79th,2026-12-18,English,Level 3,Level 3,Level 3
"Allen, Elijah",422.0,,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,Grade 1,Three or More Grade Levels Below,Mid 4,Mid or Above Grade Level,22.0,48,400Q,350Q-450Q,15th,2026-12-18,English,Level 1,Level 1,Level 2
"Allen, Noah",469.0,,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,23.0,35,680Q,630Q-730Q,68th,2026-12-19,English,Level 2,Level 3,Level 3
"Anderson, Linda",502.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Early 4,Early On Grade Level,20.0,25,870Q,820Q-920Q,95th,2026-12-19,English,Level 3,Level 3,Level 3
"Green, Emma",500.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,16.0,25,880Q,830Q-930Q,96th,2026-12-19,English,Level 3,Level 3,Level 3
"Harris, Lucas",436.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,18.0,42,505Q,455Q-555Q,30th,2026-12-21,English,Level 1,Level 2,Level 2
"Harris, Oliver",488.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,26.0,35,775Q,725Q-825Q,86th,2026-12-19,English,Level 3,Level 3,Level 3
"Lewis, Patricia",463.0,,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,23.0,35,645Q,595Q-695Q,58th,2026-12-21,English,Level 2,Level 3,Level 3
"Martin, Amelia",496.0,,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,23.0,34,840Q,790Q-890Q,93rd,2026-12-20,English,Level 3,Level 3,Level 3
"Scott, Liam",429.0,,Grade 2,Two Grade Levels Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 2,Two Grade Levels Below,Grade 2,Two Grade Levels Below,27.0,48,410Q,360Q-460Q,17th,2026-12-18,English,Level 1,Level 1,Level 2
"Smith, Emma",487.0,,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,26.0,34,770Q,720Q-820Q,86th,2026-12-19,English,Level 3,Level 3,Level 3
"Taylor, Liam",460.0,,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,Grade 3,One Grade Level Below,23.0,35,625Q,575Q-675Q,53rd,2026-12-21,English,Level 2,Level 2,Level 3
"Vasquez, Elijah",461.0,,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,27.0,35,605Q,555Q-655Q,50th,2026-12-20,English,Level 2,Level 2,Level 3
