Student,Scale Score,Rush Flag,Overall Placement,5-Level Overall Relative Placement,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Placement,Phonics Relative Placement,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Placement,Vocabulary Relative Placement,Comprehension: Overall Placement,Comprehension: Overall Relative Placement,Comprehension: Literature Placement,Comprehension: Literature Relative Placement,Comprehension: Informational Text Placement,Comprehension: Informational Text Relative Placement,Annual Typical Growth Measure,Annual Stretch Growth Measure,Lexile Measure,Lexile Range,Percentile Rank,Date,Proficiency if Student Shows No Additional Growth,Projection if Student Achieves Typical Growth,Projection if Student Achieves Stretch Growth
"Adams, Linda",601.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,15.0,21,1005L,905L-1055L,86th,2026-12-17,Level 3,Level 3,Level 4
"Allen, Elijah",556.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Early 4,Early On Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,18.0,37,820L,720L-870L,58th,2026-12-18,Level 3,Level 3,Level 3
"Allen, Noah",592.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Early 4,Early On Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,12.0,21,975L,875L-1025L,82nd,2026-12-18,Level 3,Level 3,Level 3
"Anderson, Linda",622.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 5,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,13.0,21,1110L,1010L-1160L,95th,2026-12-21,Level 4,Level 4,Level 4
"Baker, Evelyn",530.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,22.0,37,685L,585L-735L,37th,2026-12-21,Level 2,Level 2,Level 2
"Baker, Theodore",532.0,,Grade 3,One Grade Level Below,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,Grade 3,One Grade Level Below,14.0,28,720L,620L-770L,42nd,2026-12-17,Level 2,Level 2,Level 2
"Green, Emma",629.0,,Grade 5,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Grade 6,Mid or Above Grade Level,Grade 7,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,7.0,21,1165L,1065L-1215L,97th,2026-12-21,Level 4,Level 4,Level 4
"Harris, Lucas",575.0,,Early 4,Early On Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Grade 3,One Grade Level Below,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Early 4,Early On Grade Level,23.0,37,885L,785L-935L,69th,2026-12-18,Level 3,Level 3,Level 3
"Harris, Oliver",611.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,20.0,37,1065L,965L-1115L,92nd,2026-12-21,Level 4,Level 4,Level 4
"Lee, Henry",465.0,,Grade 1,Three or More Grade Levels Below,Not Assessed,Not Assessed,Grade 1,Three or More Grade Levels Below,Surpassed Level,Mid or Above Grade Level,Grade 1,Three or More Grade Levels Below,Grade 1,Three or More Grade Levels Below,Grade 1,Three or More Grade Levels Below,Grade 1,Three or More Grade Levels Below,28.0,63,400L,300L-450L,11th,2026-12-20,Level 1,Level 1,Level 2
"Lewis, Patricia",586.0,,Mid 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Mid 4,Mid or Above Grade Level,Early 4,Early On Grade Level,20.0,28,935L,835L-985L,77th,2026-12-18,Level 3,Level 3,Level 3
"Martin, Amelia",618.0,,Late 4,Mid or Above Grade Level,Not Assessed,Not Assessed,Surpassed Level,Mid or Above Grade Level,Surpassed Level,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,Late 4,Mid or Above Grade Level,15.0,21,1080L,980L-1130L,93rd,2026-12-20,Level 4,Level 4,Level 4
